CBSA,City,County,State
10020,"Abbeville, LA",Vermilion Parish,Louisiana
10100,"Aberdeen, SD",Brown County,South Dakota
10100,"Aberdeen, SD",Edmunds County,South Dakota
10140,"Aberdeen, WA",Grays Harbor County,Washington
10180,"Abilene, TX",Callahan County,Texas
10180,"Abilene, TX",Jones County,Texas
10180,"Abilene, TX",Taylor County,Texas
10220,"Ada, OK",Pontotoc County,Oklahoma
10260,"Adjuntas, PR",Adjuntas Municipio,Puerto Rico
10300,"Adrian, MI",Lenawee County,Michigan
10380,"Aguadilla-Isabela-San Sebastián, PR",Aguada Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Aguadilla Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Añasco Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Isabela Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Lares Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Moca Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Rincón Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",San Sebastián Municipio,Puerto Rico
10420,"Akron, OH",Portage County,Ohio
10420,"Akron, OH",Summit County,Ohio
10460,"Alamogordo, NM",Otero County,New Mexico
10500,"Albany, GA",Baker County,Georgia
10500,"Albany, GA",Dougherty County,Georgia
10500,"Albany, GA",Lee County,Georgia
10500,"Albany, GA",Terrell County,Georgia
10500,"Albany, GA",Worth County,Georgia
10540,"Albany-Lebanon, OR",Linn County,Oregon
10580,"Albany-Schenectady-Troy, NY",Albany County,New York
10580,"Albany-Schenectady-Troy, NY",Rensselaer County,New York
10580,"Albany-Schenectady-Troy, NY",Saratoga County,New York
10580,"Albany-Schenectady-Troy, NY",Schenectady County,New York
10580,"Albany-Schenectady-Troy, NY",Schoharie County,New York
10620,"Albemarle, NC",Stanly County,North Carolina
10660,"Albert Lea, MN",Freeborn County,Minnesota
10700,"Albertville, AL",Marshall County,Alabama
10740,"Albuquerque, NM",Bernalillo County,New Mexico
10740,"Albuquerque, NM",Sandoval County,New Mexico
10740,"Albuquerque, NM",Torrance County,New Mexico
10740,"Albuquerque, NM",Valencia County,New Mexico
10760,"Alexander City, AL",Coosa County,Alabama
10760,"Alexander City, AL",Tallapoosa County,Alabama
10780,"Alexandria, LA",Grant Parish,Louisiana
10780,"Alexandria, LA",Rapides Parish,Louisiana
10820,"Alexandria, MN",Douglas County,Minnesota
10860,"Alice, TX",Jim Wells County,Texas
10880,"Allegan, MI",Allegan County,Michigan
10900,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,New Jersey
10900,"Allentown-Bethlehem-Easton, PA-NJ",Carbon County,Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,Pennsylvania
10940,"Alma, MI",Gratiot County,Michigan
10980,"Alpena, MI",Alpena County,Michigan
11020,"Altoona, PA",Blair County,Pennsylvania
11060,"Altus, OK",Jackson County,Oklahoma
11100,"Amarillo, TX",Armstrong County,Texas
11100,"Amarillo, TX",Carson County,Texas
11100,"Amarillo, TX",Potter County,Texas
11100,"Amarillo, TX",Randall County,Texas
11140,"Americus, GA",Schley County,Georgia
11140,"Americus, GA",Sumter County,Georgia
11180,"Ames, IA",Story County,Iowa
11220,"Amsterdam, NY",Montgomery County,New York
11260,"Anchorage, AK",Anchorage Municipality,Alaska
11260,"Anchorage, AK",Matanuska-Susitna Borough,Alaska
11300,"Anderson, IN",Madison County,Indiana
11340,"Anderson, SC",Anderson County,South Carolina
11380,"Andrews, TX",Andrews County,Texas
11420,"Angola, IN",Steuben County,Indiana
11460,"Ann Arbor, MI",Washtenaw County,Michigan
11500,"Anniston-Oxford, AL",Calhoun County,Alabama
11540,"Appleton, WI",Calumet County,Wisconsin
11540,"Appleton, WI",Outagamie County,Wisconsin
11580,"Arcadia, FL",DeSoto County,Florida
11620,"Ardmore, OK",Carter County,Oklahoma
11620,"Ardmore, OK",Love County,Oklahoma
11660,"Arkadelphia, AR",Clark County,Arkansas
11700,"Asheville, NC",Buncombe County,North Carolina
11700,"Asheville, NC",Haywood County,North Carolina
11700,"Asheville, NC",Henderson County,North Carolina
11700,"Asheville, NC",Madison County,North Carolina
11740,"Ashland, OH",Ashland County,Ohio
11780,"Ashtabula, OH",Ashtabula County,Ohio
11820,"Astoria, OR",Clatsop County,Oregon
11860,"Atchison, KS",Atchison County,Kansas
11900,"Athens, OH",Athens County,Ohio
11940,"Athens, TN",McMinn County,Tennessee
11980,"Athens, TX",Henderson County,Texas
12020,"Athens-Clarke County, GA",Clarke County,Georgia
12020,"Athens-Clarke County, GA",Madison County,Georgia
12020,"Athens-Clarke County, GA",Oconee County,Georgia
12020,"Athens-Clarke County, GA",Oglethorpe County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Barrow County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Bartow County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Butts County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Carroll County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Cherokee County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Clayton County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Cobb County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Coweta County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Dawson County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",DeKalb County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Douglas County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Fayette County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Forsyth County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Fulton County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Gwinnett County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Haralson County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Heard County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Henry County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Jasper County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Lamar County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Meriwether County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Newton County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Paulding County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Pickens County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Pike County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Rockdale County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Spalding County,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA",Walton County,Georgia
12100,"Atlantic City-Hammonton, NJ",Atlantic County,New Jersey
12140,"Auburn, IN",DeKalb County,Indiana
12180,"Auburn, NY",Cayuga County,New York
12220,"Auburn-Opelika, AL",Lee County,Alabama
12260,"Augusta-Richmond County, GA-SC",Burke County,Georgia
12260,"Augusta-Richmond County, GA-SC",Columbia County,Georgia
12260,"Augusta-Richmond County, GA-SC",McDuffie County,Georgia
12260,"Augusta-Richmond County, GA-SC",Richmond County,Georgia
12260,"Augusta-Richmond County, GA-SC",Aiken County,South Carolina
12260,"Augusta-Richmond County, GA-SC",Edgefield County,South Carolina
12300,"Augusta-Waterville, ME",Kennebec County,Maine
12380,"Austin, MN",Mower County,Minnesota
12420,"Austin-Round Rock-San Marcos, TX",Bastrop County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Caldwell County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Hays County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Travis County,Texas
12420,"Austin-Round Rock-San Marcos, TX",Williamson County,Texas
12460,"Bainbridge, GA",Decatur County,Georgia
12540,"Bakersfield-Delano, CA",Kern County,California
12580,"Baltimore-Towson, MD",Anne Arundel County,Maryland
12580,"Baltimore-Towson, MD",Baltimore County,Maryland
12580,"Baltimore-Towson, MD",Carroll County,Maryland
12580,"Baltimore-Towson, MD",Harford County,Maryland
12580,"Baltimore-Towson, MD",Howard County,Maryland
12580,"Baltimore-Towson, MD",Queen Anne's County,Maryland
12580,"Baltimore-Towson, MD",Baltimore city,Maryland
12620,"Bangor, ME",Penobscot County,Maine
12660,"Baraboo, WI",Sauk County,Wisconsin
12700,"Barnstable Town, MA",Barnstable County,Massachusetts
12740,"Barre, VT",Washington County,Vermont
12780,"Bartlesville, OK",Washington County,Oklahoma
12820,"Bastrop, LA",Morehouse Parish,Louisiana
12860,"Batavia, NY",Genesee County,New York
12900,"Batesville, AR",Independence County,Arkansas
12940,"Baton Rouge, LA",Ascension Parish,Louisiana
12940,"Baton Rouge, LA",East Baton Rouge Parish,Louisiana
12940,"Baton Rouge, LA",East Feliciana Parish,Louisiana
12940,"Baton Rouge, LA",Iberville Parish,Louisiana
12940,"Baton Rouge, LA",Livingston Parish,Louisiana
12940,"Baton Rouge, LA",Pointe Coupee Parish,Louisiana
12940,"Baton Rouge, LA",St. Helena Parish,Louisiana
12940,"Baton Rouge, LA",West Baton Rouge Parish,Louisiana
12940,"Baton Rouge, LA",West Feliciana Parish,Louisiana
12980,"Battle Creek, MI",Calhoun County,Michigan
13020,"Bay City, MI",Bay County,Michigan
13060,"Bay City, TX",Matagorda County,Texas
13100,"Beatrice, NE",Gage County,Nebraska
13140,"Beaumont-Port Arthur, TX",Hardin County,Texas
13140,"Beaumont-Port Arthur, TX",Jefferson County,Texas
13140,"Beaumont-Port Arthur, TX",Orange County,Texas
13180,"Beaver Dam, WI",Dodge County,Wisconsin
13220,"Beckley, WV",Raleigh County,West Virginia
13260,"Bedford, IN",Lawrence County,Indiana
13300,"Beeville, TX",Bee County,Texas
13340,"Bellefontaine, OH",Logan County,Ohio
13380,"Bellingham, WA",Whatcom County,Washington
13420,"Bemidji, MN",Beltrami County,Minnesota
13460,"Bend, OR",Deschutes County,Oregon
13500,"Bennettsville, SC",Marlboro County,South Carolina
13540,"Bennington, VT",Bennington County,Vermont
13620,"Berlin, NH-VT",Coos County,New Hampshire
13620,"Berlin, NH-VT",Essex County,Vermont
13660,"Big Rapids, MI",Mecosta County,Michigan
13700,"Big Spring, TX",Howard County,Texas
13740,"Billings, MT",Carbon County,Montana
13740,"Billings, MT",Yellowstone County,Montana
13780,"Binghamton, NY",Broome County,New York
13780,"Binghamton, NY",Tioga County,New York
13820,"Birmingham-Hoover, AL",Bibb County,Alabama
13820,"Birmingham-Hoover, AL",Blount County,Alabama
13820,"Birmingham-Hoover, AL",Chilton County,Alabama
13820,"Birmingham-Hoover, AL",Jefferson County,Alabama
13820,"Birmingham-Hoover, AL",St. Clair County,Alabama
13820,"Birmingham-Hoover, AL",Shelby County,Alabama
13820,"Birmingham-Hoover, AL",Walker County,Alabama
13860,"Bishop, CA",Inyo County,California
13900,"Bismarck, ND",Burleigh County,North Dakota
13900,"Bismarck, ND",Morton County,North Dakota
13940,"Blackfoot, ID",Bingham County,Idaho
13980,"Blacksburg-Christiansburg-Radford, VA",Giles County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Montgomery County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Pulaski County,Virginia
13980,"Blacksburg-Christiansburg-Radford, VA",Radford city,Virginia
14020,"Bloomington, IN",Greene County,Indiana
14020,"Bloomington, IN",Monroe County,Indiana
14020,"Bloomington, IN",Owen County,Indiana
14060,"Bloomington-Normal, IL",McLean County,Illinois
14100,"Bloomsburg-Berwick, PA",Columbia County,Pennsylvania
14100,"Bloomsburg-Berwick, PA",Montour County,Pennsylvania
14140,"Bluefield, WV-VA",Tazewell County,Virginia
14140,"Bluefield, WV-VA",Mercer County,West Virginia
14180,"Blytheville, AR",Mississippi County,Arkansas
14220,"Bogalusa, LA",Washington Parish,Louisiana
14260,"Boise City-Nampa, ID",Ada County,Idaho
14260,"Boise City-Nampa, ID",Boise County,Idaho
14260,"Boise City-Nampa, ID",Canyon County,Idaho
14260,"Boise City-Nampa, ID",Gem County,Idaho
14260,"Boise City-Nampa, ID",Owyhee County,Idaho
14300,"Bonham, TX",Fannin County,Texas
14340,"Boone, IA",Boone County,Iowa
14380,"Boone, NC",Watauga County,North Carolina
14420,"Borger, TX",Hutchinson County,Texas
14460,"Boston-Cambridge-Quincy, MA-NH",Essex County,Massachusetts
14460,"Boston-Cambridge-Quincy, MA-NH",Middlesex County,Massachusetts
14460,"Boston-Cambridge-Quincy, MA-NH",Norfolk County,Massachusetts
14460,"Boston-Cambridge-Quincy, MA-NH",Plymouth County,Massachusetts
14460,"Boston-Cambridge-Quincy, MA-NH",Suffolk County,Massachusetts
14460,"Boston-Cambridge-Quincy, MA-NH",Rockingham County,New Hampshire
14460,"Boston-Cambridge-Quincy, MA-NH",Strafford County,New Hampshire
14500,"Boulder, CO",Boulder County,Colorado
14540,"Bowling Green, KY",Edmonson County,Kentucky
14540,"Bowling Green, KY",Warren County,Kentucky
14580,"Bozeman, MT",Gallatin County,Montana
14620,"Bradford, PA",McKean County,Pennsylvania
14660,"Brainerd, MN",Cass County,Minnesota
14660,"Brainerd, MN",Crow Wing County,Minnesota
14700,"Branson, MO",Stone County,Missouri
14700,"Branson, MO",Taney County,Missouri
14740,"Bremerton-Silverdale, WA",Kitsap County,Washington
14780,"Brenham, TX",Washington County,Texas
14820,"Brevard, NC",Transylvania County,North Carolina
14860,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,Connecticut
14940,"Brigham City, UT",Box Elder County,Utah
15020,"Brookhaven, MS",Lincoln County,Mississippi
15060,"Brookings, OR",Curry County,Oregon
15100,"Brookings, SD",Brookings County,South Dakota
15140,"Brownsville, TN",Haywood County,Tennessee
15180,"Brownsville-Harlingen, TX",Cameron County,Texas
15220,"Brownwood, TX",Brown County,Texas
15260,"Brunswick, GA",Brantley County,Georgia
15260,"Brunswick, GA",Glynn County,Georgia
15260,"Brunswick, GA",McIntosh County,Georgia
15340,"Bucyrus, OH",Crawford County,Ohio
15380,"Buffalo-Niagara Falls, NY",Erie County,New York
15380,"Buffalo-Niagara Falls, NY",Niagara County,New York
15420,"Burley, ID",Cassia County,Idaho
15420,"Burley, ID",Minidoka County,Idaho
15460,"Burlington, IA-IL",Henderson County,Illinois
15460,"Burlington, IA-IL",Des Moines County,Iowa
15500,"Burlington, NC",Alamance County,North Carolina
15540,"Burlington-South Burlington, VT",Chittenden County,Vermont
15540,"Burlington-South Burlington, VT",Franklin County,Vermont
15540,"Burlington-South Burlington, VT",Grand Isle County,Vermont
15580,"Butte-Silver Bow, MT",Silver Bow County,Montana
15620,"Cadillac, MI",Missaukee County,Michigan
15620,"Cadillac, MI",Wexford County,Michigan
15660,"Calhoun, GA",Gordon County,Georgia
15700,"Cambridge, MD",Dorchester County,Maryland
15740,"Cambridge, OH",Guernsey County,Ohio
15780,"Camden, AR",Calhoun County,Arkansas
15780,"Camden, AR",Ouachita County,Arkansas
15820,"Campbellsville, KY",Taylor County,Kentucky
15860,"Cañon City, CO",Fremont County,Colorado
15900,"Canton, IL",Fulton County,Illinois
15940,"Canton-Massillon, OH",Carroll County,Ohio
15940,"Canton-Massillon, OH",Stark County,Ohio
15980,"Cape Coral-Fort Myers, FL",Lee County,Florida
16020,"Cape Girardeau-Jackson, MO-IL",Alexander County,Illinois
16020,"Cape Girardeau-Jackson, MO-IL",Bollinger County,Missouri
16020,"Cape Girardeau-Jackson, MO-IL",Cape Girardeau County,Missouri
16060,"Carbondale, IL",Jackson County,Illinois
16100,"Carlsbad-Artesia, NM",Eddy County,New Mexico
16180,"Carson City, NV",Carson City,Nevada
16220,"Casper, WY",Natrona County,Wyoming
16260,"Cedar City, UT",Iron County,Utah
16300,"Cedar Rapids, IA",Benton County,Iowa
16300,"Cedar Rapids, IA",Jones County,Iowa
16300,"Cedar Rapids, IA",Linn County,Iowa
16340,"Cedartown, GA",Polk County,Georgia
16380,"Celina, OH",Mercer County,Ohio
16420,"Central City, KY",Muhlenberg County,Kentucky
16460,"Centralia, IL",Marion County,Illinois
16500,"Centralia, WA",Lewis County,Washington
16540,"Chambersburg, PA",Franklin County,Pennsylvania
16580,"Champaign-Urbana, IL",Champaign County,Illinois
16580,"Champaign-Urbana, IL",Ford County,Illinois
16580,"Champaign-Urbana, IL",Piatt County,Illinois
16620,"Charleston, WV",Boone County,West Virginia
16620,"Charleston, WV",Clay County,West Virginia
16620,"Charleston, WV",Kanawha County,West Virginia
16620,"Charleston, WV",Lincoln County,West Virginia
16620,"Charleston, WV",Putnam County,West Virginia
16660,"Charleston-Mattoon, IL",Coles County,Illinois
16660,"Charleston-Mattoon, IL",Cumberland County,Illinois
16700,"Charleston-North Charleston-Summerville, SC",Berkeley County,South Carolina
16700,"Charleston-North Charleston-Summerville, SC",Charleston County,South Carolina
16700,"Charleston-North Charleston-Summerville, SC",Dorchester County,South Carolina
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Anson County,North Carolina
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Cabarrus County,North Carolina
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Gaston County,North Carolina
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Mecklenburg County,North Carolina
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Union County,North Carolina
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",York County,South Carolina
16820,"Charlottesville, VA",Albemarle County,Virginia
16820,"Charlottesville, VA",Fluvanna County,Virginia
16820,"Charlottesville, VA",Greene County,Virginia
16820,"Charlottesville, VA",Nelson County,Virginia
16820,"Charlottesville, VA",Charlottesville city,Virginia
16860,"Chattanooga, TN-GA",Catoosa County,Georgia
16860,"Chattanooga, TN-GA",Dade County,Georgia
16860,"Chattanooga, TN-GA",Walker County,Georgia
16860,"Chattanooga, TN-GA",Hamilton County,Tennessee
16860,"Chattanooga, TN-GA",Marion County,Tennessee
16860,"Chattanooga, TN-GA",Sequatchie County,Tennessee
16900,"Chester, SC",Chester County,South Carolina
16940,"Cheyenne, WY",Laramie County,Wyoming
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Cook County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",DeKalb County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",DuPage County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Grundy County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Kane County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Kendall County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Lake County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",McHenry County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Will County,Illinois
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Jasper County,Indiana
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Lake County,Indiana
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Newton County,Indiana
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Porter County,Indiana
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Kenosha County,Wisconsin
17020,"Chico, CA",Butte County,California
17060,"Chillicothe, OH",Ross County,Ohio
17140,"Cincinnati-Middletown, OH-KY-IN",Dearborn County,Indiana
17140,"Cincinnati-Middletown, OH-KY-IN",Franklin County,Indiana
17140,"Cincinnati-Middletown, OH-KY-IN",Ohio County,Indiana
17140,"Cincinnati-Middletown, OH-KY-IN",Boone County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Bracken County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Campbell County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Gallatin County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Grant County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Kenton County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Pendleton County,Kentucky
17140,"Cincinnati-Middletown, OH-KY-IN",Brown County,Ohio
17140,"Cincinnati-Middletown, OH-KY-IN",Butler County,Ohio
17140,"Cincinnati-Middletown, OH-KY-IN",Clermont County,Ohio
17140,"Cincinnati-Middletown, OH-KY-IN",Hamilton County,Ohio
17140,"Cincinnati-Middletown, OH-KY-IN",Warren County,Ohio
17200,"Claremont, NH",Sullivan County,New Hampshire
17220,"Clarksburg, WV",Doddridge County,West Virginia
17220,"Clarksburg, WV",Harrison County,West Virginia
17220,"Clarksburg, WV",Taylor County,West Virginia
17260,"Clarksdale, MS",Coahoma County,Mississippi
17300,"Clarksville, TN-KY",Christian County,Kentucky
17300,"Clarksville, TN-KY",Trigg County,Kentucky
17300,"Clarksville, TN-KY",Montgomery County,Tennessee
17300,"Clarksville, TN-KY",Stewart County,Tennessee
17340,"Clearlake, CA",Lake County,California
17380,"Cleveland, MS",Bolivar County,Mississippi
17420,"Cleveland, TN",Bradley County,Tennessee
17420,"Cleveland, TN",Polk County,Tennessee
17460,"Cleveland-Elyria-Mentor, OH",Cuyahoga County,Ohio
17460,"Cleveland-Elyria-Mentor, OH",Geauga County,Ohio
17460,"Cleveland-Elyria-Mentor, OH",Lake County,Ohio
17460,"Cleveland-Elyria-Mentor, OH",Lorain County,Ohio
17460,"Cleveland-Elyria-Mentor, OH",Medina County,Ohio
17500,"Clewiston, FL",Hendry County,Florida
17540,"Clinton, IA",Clinton County,Iowa
17580,"Clovis, NM",Curry County,New Mexico
17620,"Coamo, PR",Coamo Municipio,Puerto Rico
17620,"Coamo, PR",Salinas Municipio,Puerto Rico
17660,"Coeur d'Alene, ID",Kootenai County,Idaho
17700,"Coffeyville, KS",Montgomery County,Kansas
17740,"Coldwater, MI",Branch County,Michigan
17780,"College Station-Bryan, TX",Brazos County,Texas
17780,"College Station-Bryan, TX",Burleson County,Texas
17780,"College Station-Bryan, TX",Robertson County,Texas
17820,"Colorado Springs, CO",El Paso County,Colorado
17820,"Colorado Springs, CO",Teller County,Colorado
17860,"Columbia, MO",Boone County,Missouri
17860,"Columbia, MO",Howard County,Missouri
17900,"Columbia, SC",Calhoun County,South Carolina
17900,"Columbia, SC",Fairfield County,South Carolina
17900,"Columbia, SC",Kershaw County,South Carolina
17900,"Columbia, SC",Lexington County,South Carolina
17900,"Columbia, SC",Richland County,South Carolina
17900,"Columbia, SC",Saluda County,South Carolina
17940,"Columbia, TN",Maury County,Tennessee
17980,"Columbus, GA-AL",Russell County,Alabama
17980,"Columbus, GA-AL",Chattahoochee County,Georgia
17980,"Columbus, GA-AL",Harris County,Georgia
17980,"Columbus, GA-AL",Marion County,Georgia
17980,"Columbus, GA-AL",Muscogee County,Georgia
18020,"Columbus, IN",Bartholomew County,Indiana
18060,"Columbus, MS",Lowndes County,Mississippi
18100,"Columbus, NE",Platte County,Nebraska
18140,"Columbus, OH",Delaware County,Ohio
18140,"Columbus, OH",Fairfield County,Ohio
18140,"Columbus, OH",Franklin County,Ohio
18140,"Columbus, OH",Licking County,Ohio
18140,"Columbus, OH",Madison County,Ohio
18140,"Columbus, OH",Morrow County,Ohio
18140,"Columbus, OH",Pickaway County,Ohio
18140,"Columbus, OH",Union County,Ohio
18180,"Concord, NH",Merrimack County,New Hampshire
18220,"Connersville, IN",Fayette County,Indiana
18260,"Cookeville, TN",Jackson County,Tennessee
18260,"Cookeville, TN",Overton County,Tennessee
18260,"Cookeville, TN",Putnam County,Tennessee
18300,"Coos Bay, OR",Coos County,Oregon
18340,"Corbin, KY",Whitley County,Kentucky
18380,"Cordele, GA",Crisp County,Georgia
18420,"Corinth, MS",Alcorn County,Mississippi
18460,"Cornelia, GA",Habersham County,Georgia
18500,"Corning, NY",Steuben County,New York
18580,"Corpus Christi, TX",Aransas County,Texas
18580,"Corpus Christi, TX",Nueces County,Texas
18580,"Corpus Christi, TX",San Patricio County,Texas
18620,"Corsicana, TX",Navarro County,Texas
18660,"Cortland, NY",Cortland County,New York
18700,"Corvallis, OR",Benton County,Oregon
18740,"Coshocton, OH",Coshocton County,Ohio
18820,"Crawfordsville, IN",Montgomery County,Indiana
18860,"Crescent City, CA",Del Norte County,California
18880,"Crestview-Fort Walton Beach-Destin, FL",Okaloosa County,Florida
18900,"Crossville, TN",Cumberland County,Tennessee
18940,"Crowley, LA",Acadia Parish,Louisiana
18980,"Cullman, AL",Cullman County,Alabama
19020,"Culpeper, VA",Culpeper County,Virginia
19060,"Cumberland, MD-WV",Allegany County,Maryland
19060,"Cumberland, MD-WV",Mineral County,West Virginia
19100,"Dallas-Fort Worth-Arlington, TX",Collin County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Dallas County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Delta County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Denton County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Ellis County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Hunt County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Johnson County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Kaufman County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Parker County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Rockwall County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Tarrant County,Texas
19100,"Dallas-Fort Worth-Arlington, TX",Wise County,Texas
19140,"Dalton, GA",Murray County,Georgia
19140,"Dalton, GA",Whitfield County,Georgia
19180,"Danville, IL",Vermilion County,Illinois
19220,"Danville, KY",Boyle County,Kentucky
19220,"Danville, KY",Lincoln County,Kentucky
19260,"Danville, VA",Pittsylvania County,Virginia
19260,"Danville, VA",Danville city,Virginia
19300,"Daphne-Fairhope-Foley, AL",Baldwin County,Alabama
19340,"Davenport-Moline-Rock Island, IA-IL",Henry County,Illinois
19340,"Davenport-Moline-Rock Island, IA-IL",Mercer County,Illinois
19340,"Davenport-Moline-Rock Island, IA-IL",Rock Island County,Illinois
19340,"Davenport-Moline-Rock Island, IA-IL",Scott County,Iowa
19380,"Dayton, OH",Greene County,Ohio
19380,"Dayton, OH",Miami County,Ohio
19380,"Dayton, OH",Montgomery County,Ohio
